time,retentate conc.
(s),(mM/L)
0,NaN
5,NaN
10,NaN
15,NaN
20,NaN
25,NaN
30,NaN
35,NaN
40,NaN
45,NaN
50,NaN
55,NaN
60,NaN
65,NaN
70,NaN
75,NaN
80,NaN
85,NaN
90,NaN
95,NaN
100,NaN
105,NaN
110,NaN
115,NaN
120,NaN
125,NaN
130,NaN
135,NaN
140,NaN
145,NaN
150,NaN
155,NaN
160,NaN
165,NaN
170,NaN
175,NaN
180,NaN
185,NaN
190,NaN
195,NaN
200,NaN
205,NaN
210,NaN
215,NaN
220,NaN
225,NaN
230,NaN
235,NaN
240,NaN
245,NaN
250,14.16222781
255,NaN
260,NaN
265,NaN
270,NaN
275,NaN
280,NaN
285,NaN
290,NaN
295,NaN
300,NaN
305,NaN
310,NaN
315,NaN
320,NaN
325,NaN
330,NaN
335,NaN
340,NaN
345,NaN
350,NaN
355,NaN
360,NaN
365,NaN
370,NaN
375,NaN
380,15.20517956
385,NaN
390,NaN
395,NaN
400,NaN
405,NaN
410,NaN
415,NaN
420,NaN
425,NaN
430,NaN
435,NaN
440,NaN
445,NaN
450,NaN
455,NaN
460,NaN
465,NaN
470,NaN
475,NaN
480,NaN
485,NaN
490,NaN
495,NaN
500,NaN
505,NaN
510,NaN
515,NaN
520,NaN
525,NaN
530,NaN
535,NaN
540,NaN
545,NaN
550,NaN
555,NaN
560,NaN
565,NaN
570,NaN
575,NaN
580,NaN
585,NaN
590,NaN
595,NaN
600,NaN
605,NaN
610,NaN
615,NaN
620,NaN
625,NaN
630,NaN
635,NaN
640,NaN
645,NaN
650,NaN
655,NaN
660,NaN
665,NaN
670,NaN
675,NaN
680,NaN
685,NaN
690,NaN
695,NaN
700,NaN
705,NaN
710,NaN
715,NaN
720,NaN
725,NaN
730,NaN
735,NaN
740,NaN
745,NaN
750,NaN
755,NaN
760,NaN
765,NaN
770,NaN
775,NaN
780,NaN
785,NaN
790,NaN
795,NaN
800,NaN
805,NaN
810,NaN
815,NaN
820,NaN
825,NaN
830,NaN
835,NaN
840,NaN
845,NaN
850,NaN
855,NaN
860,NaN
865,NaN
870,NaN
875,NaN
880,NaN
885,NaN
890,NaN
895,NaN
900,NaN
905,NaN
910,NaN
915,NaN
920,NaN
925,NaN
930,NaN
935,NaN
940,NaN
945,NaN
950,NaN
955,NaN
960,NaN
965,NaN
970,NaN
975,NaN
980,NaN
985,NaN
990,NaN
995,NaN
1000,20.17925714
1005,NaN
1010,NaN
1015,NaN
1020,NaN
1025,NaN
1030,NaN
1035,NaN
1040,NaN
1045,NaN
1050,NaN
1055,NaN
1060,NaN
1065,NaN
1070,NaN
1075,NaN
1080,NaN
1085,NaN
1090,NaN
1095,NaN
1100,NaN
1105,NaN
1110,NaN
1115,NaN
1120,NaN
1125,NaN
1130,NaN
1135,NaN
1140,NaN
1145,NaN
1150,NaN
1155,NaN
1160,NaN
1165,NaN
1170,NaN
1175,NaN
1180,NaN
1185,NaN
1190,NaN
1195,NaN
1200,NaN
1205,NaN
1210,NaN
1215,NaN
1220,NaN
1225,NaN
1230,NaN
1235,NaN
1240,NaN
1245,NaN
1250,NaN
1255,NaN
1260,NaN
1265,NaN
1270,NaN
1275,NaN
1280,NaN
1285,NaN
1290,NaN
1295,NaN
1300,NaN
1305,NaN
1310,NaN
1315,NaN
1320,NaN
1325,NaN
1330,NaN
1335,NaN
1340,NaN
1345,NaN
1350,NaN
1355,NaN
1360,NaN
1365,NaN
1370,NaN
1375,NaN
1380,NaN
1385,NaN
1390,NaN
1395,NaN
1400,NaN
1405,NaN
1410,NaN
1415,NaN
1420,NaN
1425,NaN
1430,NaN
1435,NaN
1440,NaN
1445,NaN
1450,NaN
1455,NaN
1460,NaN
1465,NaN
1470,NaN
1475,NaN
1480,NaN
1485,NaN
1490,NaN
1495,NaN
1500,NaN
1505,NaN
1510,NaN
1515,NaN
1520,NaN
1525,NaN
1530,NaN
1535,NaN
1540,NaN
1545,NaN
1550,NaN
1555,NaN
